User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status
100050,Priyansh Chakraborty,P5758,Other,36-45,21,Divorced,Maharashtra,South,Engineer,Books,4,3798.62,Pending
100051,Aniruddh Kota,P8192,Other,26-35,53,Married,Maharashtra,East,Engineer,Groceries,7,4443.96,Pending
100052,Akarsh Vohra,P6709,Other,26-35,52,Married,Gujarat,South,Student,Furniture,5,2587.11,Delivered
100053,Misha Doctor,P1947,Other,36-45,64,Single,Maharashtra,North,Teacher,Clothing,4,487.41,Pending
100054,Farhan Chakraborty,P1924,Other,18-25,18,Married,Tamil Nadu,East,Teacher,Books,7,3449.78,Cancelled
100055,Nakul Sastry,P2060,Other,26-35,38,Single,Karnataka,Central,Engineer,Clothing,9,2221.46,Cancelled
100056,Saksham Tak,P3088,Other,56+,34,Married,Karnataka,North,Doctor,Groceries,5,105.3,Cancelled
100057,Dhanush Sangha,P6990,Other,18-25,35,Married,Tamil Nadu,West,Teacher,Electronics,9,1676.98,Delivered
100058,Divij Soman,P7423,Other,26-35,62,Married,Tamil Nadu,South,Teacher,Furniture,3,1058.94,Delivered
100059,Indranil Kumar,P7212,Male,26-35,64,Married,Tamil Nadu,East,Business,Clothing,7,662.11,Delivered
100060,Saksham Thakur,P3777,Other,36-45,61,Divorced,Maharashtra,East,Engineer,Furniture,6,3199.83,Delivered
100061,Eshani Ramaswamy,P9032,Female,26-35,19,Married,Tamil Nadu,West,Engineer,Clothing,7,4718.7,Delivered
100062,Arhaan Luthra,P4031,Female,46-55,61,Divorced,Delhi,West,Engineer,Electronics,1,1586.61,Pending
100063,Saira Jaggi,P8448,Other,36-45,45,Married,Karnataka,Central,Teacher,Furniture,1,1833.69,Delivered
100064,Dishani Guha,P3705,Female,46-55,45,Divorced,Tamil Nadu,South,Teacher,Groceries,9,4786.13,Cancelled
100065,Drishya Doctor,P2421,Other,46-55,37,Married,Maharashtra,East,Student,Electronics,3,3893.6,Pending
100066,Dhanush Kara,P6608,Other,46-55,28,Divorced,Maharashtra,South,Business,Furniture,1,2965.65,Cancelled
100067,Vardaniya Mammen,P2316,Female,36-45,35,Divorced,Tamil Nadu,South,Engineer,Furniture,4,1427.18,Pending
100068,Nirvi Doshi,P4683,Other,46-55,54,Married,Delhi,North,Student,Books,1,4954.5,Delivered
100069,Shayak Hora,P5679,Female,36-45,54,Single,Tamil Nadu,North,Student,Books,3,389.5,Pending
100070,Mohanlal Brahmbhatt,P9552,Female,36-45,37,Divorced,Delhi,South,Doctor,Clothing,5,1217.28,Pending
100071,Mishti Samra,P9461,Male,56+,26,Single,Tamil Nadu,West,Doctor,Groceries,8,540.28,Pending
100072,Abram Biswas,P7444,Female,36-45,62,Divorced,Delhi,North,Teacher,Groceries,3,3478.78,Delivered
100073,Anaya Divan,P2366,Male,36-45,25,Single,Tamil Nadu,North,Student,Furniture,6,1347.62,Pending
100074,Azad Gupta,P1490,Female,36-45,63,Divorced,Delhi,East,Student,Electronics,5,870.2,Pending
100075,Devansh Apte,P4262,Other,46-55,64,Married,Karnataka,Central,Teacher,Books,4,2586.04,Pending
100076,Nishith Tata,P8302,Other,46-55,50,Divorced,Gujarat,Central,Engineer,Furniture,8,4496.64,Pending
100077,Seher Krishnan,P9856,Other,46-55,37,Married,Karnataka,East,Student,Furniture,7,4289.57,Delivered
100078,Hridaan Ramaswamy,P5300,Female,26-35,61,Divorced,Karnataka,South,Student,Electronics,2,3193.48,Delivered
100079,Prisha Bobal,P5921,Female,56+,40,Married,Gujarat,Central,Doctor,Groceries,8,2118.46,Delivered
100080,Darshit Jhaveri,P3679,Other,56+,21,Married,Tamil Nadu,North,Doctor,Groceries,6,507.94,Pending
100081,Taimur Vala,P7226,Male,56+,39,Married,Tamil Nadu,North,Doctor,Furniture,8,695.02,Cancelled
100082,Lavanya Bhatti,P5501,Other,36-45,38,Married,Karnataka,South,Teacher,Clothing,7,780.52,Cancelled
100083,Emir Manne,P8576,Female,36-45,36,Divorced,Delhi,Central,Student,Electronics,2,2841.2,Pending
100084,Gokul Mammen,P4181,Male,36-45,43,Married,Delhi,West,Doctor,Electronics,9,2417.01,Cancelled
100085,Mamooty Dube,P8751,Female,46-55,46,Divorced,Delhi,East,Student,Electronics,9,2636.31,Pending
100086,Lavanya Chad,P4371,Female,46-55,29,Single,Maharashtra,North,Student,Electronics,7,183.62,Pending
100087,Keya Taneja,P5488,Other,56+,50,Married,Karnataka,Central,Engineer,Books,2,1454.34,Delivered
100088,Dhanuk Jayaraman,P3528,Male,46-55,57,Single,Karnataka,Central,Teacher,Groceries,8,4905.99,Cancelled
100089,Rania Swamy,P3302,Female,18-25,31,Divorced,Maharashtra,West,Student,Clothing,8,1868.3,Delivered
100090,Vanya Bail,P4590,Female,18-25,32,Divorced,Karnataka,North,Doctor,Furniture,2,3295.53,Pending
100091,Alia Sidhu,P3259,Male,26-35,32,Single,Karnataka,North,Doctor,Electronics,5,2686.15,Delivered
100092,Vardaniya Sampath,P9225,Male,36-45,46,Divorced,Delhi,South,Engineer,Books,4,953.96,Delivered
100093,Fateh Sharaf,P9071,Male,36-45,42,Divorced,Gujarat,West,Teacher,Electronics,8,2793.32,Delivered
100094,Anya Sen,P9198,Female,56+,36,Married,Delhi,East,Doctor,Groceries,3,186.76,Cancelled
100095,Devansh Salvi,P1879,Male,26-35,36,Divorced,Maharashtra,North,Teacher,Books,2,4403.08,Delivered
100096,Faiyaz Dube,P2077,Other,36-45,27,Married,Tamil Nadu,North,Engineer,Clothing,9,4384.25,Cancelled
100097,Advik Dani,P1652,Other,36-45,51,Married,Tamil Nadu,North,Engineer,Clothing,6,4111.48,Cancelled
100098,Vivaan Taneja,P1936,Female,18-25,47,Single,Tamil Nadu,West,Doctor,Electronics,5,1783.71,Delivered
100099,Miraya Subramaniam,P4354,Other,26-35,23,Married,Karnataka,South,Doctor,Electronics,4,2214.81,Delivered
100100,Oorja Arora,P6204,Other,56+,44,Divorced,Tamil Nadu,North,Business,Electronics,7,3556.68,Pending
100101,Dhruv Lata,P1467,Other,26-35,26,Divorced,Karnataka,Central,Teacher,Electronics,2,4084.85,Delivered
100102,Nayantara Kata,P9216,Other,26-35,35,Married,Tamil Nadu,South,Teacher,Electronics,5,4883.16,Delivered
100103,Shayak Kumar,P9686,Female,56+,42,Married,Karnataka,East,Teacher,Clothing,1,1475.26,Delivered
100104,Anay Contractor,P1005,Male,56+,26,Married,Maharashtra,West,Business,Groceries,8,1845.59,Delivered
100105,Ryan Loyal,P2995,Female,36-45,52,Divorced,Karnataka,South,Student,Clothing,1,2130.22,Pending
100106,Ayesha Bhardwaj,P9298,Female,26-35,64,Divorced,Karnataka,West,Student,Furniture,2,423.42,Delivered
100107,Indrans Bhavsar,P8609,Female,26-35,43,Married,Karnataka,South,Teacher,Books,1,2646.08,Cancelled
100108,Aayush Sarkar,P3122,Female,18-25,50,Divorced,Tamil Nadu,North,Business,Books,6,4737.79,Cancelled
100109,Jayant Dutt,P1285,Other,46-55,59,Married,Gujarat,North,Doctor,Books,2,1737.25,Delivered
100110,Mamooty Boase,P5576,Other,26-35,51,Single,Karnataka,North,Engineer,Electronics,9,4912.5,Cancelled
100111,Kashvi Bhasin,P9854,Male,56+,49,Married,Delhi,Central,Engineer,Groceries,6,1041.8,Delivered
100112,Hunar Hayer,P7407,Male,36-45,59,Divorced,Gujarat,East,Teacher,Clothing,5,4812.67,Pending
100113,Rhea Buch,P3933,Other,18-25,62,Married,Maharashtra,South,Teacher,Books,3,160.79,Delivered
100114,Ehsaan Gara,P6533,Other,46-55,27,Single,Tamil Nadu,West,Teacher,Groceries,3,3898.59,Pending
100115,Aarush Tella,P1086,Male,18-25,57,Single,Tamil Nadu,South,Doctor,Books,5,4237.55,Pending
100116,Vritika Tata,P5450,Male,56+,29,Single,Maharashtra,West,Engineer,Electronics,7,1990.38,Cancelled
100117,Rania Kade,P6959,Male,36-45,41,Divorced,Gujarat,West,Engineer,Furniture,3,3503.8,Delivered
100118,Elakshi Korpal,P5483,Other,26-35,63,Divorced,Delhi,South,Business,Clothing,8,3309.38,Pending
100119,Eshani Sanghvi,P2196,Male,36-45,38,Married,Maharashtra,Central,Doctor,Clothing,1,287.41,Delivered
100120,Chirag Wali,P5799,Female,18-25,49,Divorced,Delhi,West,Business,Clothing,2,2163.36,Cancelled
100121,Ryan Dugal,P2102,Female,18-25,38,Divorced,Karnataka,Central,Engineer,Groceries,1,4218.29,Delivered
100122,Sana Dora,P2235,Female,56+,56,Married,Delhi,East,Doctor,Clothing,3,3006.1,Delivered
100123,Shray Hayer,P9400,Other,36-45,26,Divorced,Karnataka,East,Business,Electronics,6,4544.71,Delivered
100124,Vedika Iyer,P9436,Male,46-55,59,Divorced,Tamil Nadu,West,Business,Groceries,3,4063.09,Delivered
100125,Aarna Solanki,P6360,Female,46-55,54,Married,Tamil Nadu,Central,Engineer,Clothing,2,3672.01,Pending
100126,Nehmat Shankar,P8868,Female,46-55,29,Married,Delhi,East,Teacher,Electronics,6,3881.84,Pending
100127,Saksham Swamy,P4039,Male,26-35,52,Divorced,Karnataka,Central,Teacher,Groceries,5,3929.84,Delivered
100128,Reyansh Kant,P1360,Other,26-35,57,Divorced,Tamil Nadu,East,Student,Clothing,5,676.6,Pending
100129,Emir Kaur,P1431,Male,36-45,63,Divorced,Delhi,East,Doctor,Furniture,1,4913.84,Delivered
100130,Akarsh Mani,P5350,Other,56+,53,Single,Delhi,North,Student,Clothing,5,2252.23,Pending
100131,Indrans Basak,P7143,Female,56+,61,Single,Maharashtra,Central,Student,Clothing,1,2106.68,Pending
100132,Aaryahi Iyer,P5237,Other,18-25,60,Married,Gujarat,East,Teacher,Electronics,2,3523.36,Pending
100133,Neelofar Bahl,P6138,Other,18-25,28,Married,Maharashtra,North,Business,Groceries,6,4731.15,Delivered
100134,Badal Jha,P3395,Female,36-45,54,Divorced,Tamil Nadu,East,Doctor,Electronics,2,3361.09,Pending
100135,Alisha Garde,P9621,Female,56+,63,Divorced,Tamil Nadu,West,Engineer,Groceries,5,4031.96,Cancelled
100136,Heer Shere,P3142,Other,26-35,22,Single,Karnataka,West,Doctor,Groceries,7,3015.13,Delivered
100137,Tanya Datta,P1471,Other,36-45,20,Divorced,Maharashtra,East,Student,Books,6,2186.43,Delivered
100138,Bhamini Das,P5286,Male,26-35,23,Single,Delhi,Central,Doctor,Clothing,2,1967.85,Pending
100139,Himmat Lal,P5073,Other,56+,19,Divorced,Gujarat,West,Teacher,Electronics,1,4815.09,Cancelled
100140,Vritika Sekhon,P9973,Other,56+,37,Married,Gujarat,North,Teacher,Groceries,5,2877.18,Pending
100141,Bhamini Suresh,P5977,Female,18-25,54,Married,Maharashtra,East,Business,Electronics,9,213.55,Delivered
100142,Rhea Bandi,P6315,Male,26-35,30,Married,Gujarat,West,Student,Clothing,8,2278.36,Cancelled
100143,Shayak Dhar,P4834,Male,36-45,26,Divorced,Maharashtra,Central,Doctor,Electronics,3,2046.28,Delivered
100144,Vihaan Lala,P4675,Other,56+,34,Single,Maharashtra,East,Engineer,Books,6,1108.29,Cancelled
100145,Ivana Saxena,P6481,Female,26-35,32,Divorced,Karnataka,South,Doctor,Clothing,1,3533.54,Delivered
100146,Nehmat Shan,P8408,Male,56+,28,Divorced,Tamil Nadu,East,Business,Clothing,7,1107.61,Pending
100147,Piya Sagar,P7138,Female,46-55,59,Divorced,Maharashtra,North,Teacher,Clothing,9,168.58,Pending
100148,Fateh Soni,P5543,Female,56+,22,Single,Tamil Nadu,West,Teacher,Electronics,9,1488.06,Pending
100149,Vardaniya Chatterjee,P5847,Other,46-55,37,Married,Maharashtra,West,Student,Furniture,6,1917.99,Pending
100150,Pranay Ratta,P2466,Male,46-55,32,Married,Maharashtra,East,Business,Electronics,6,3390.75,Delivered
100151,Drishya Tandon,P5318,Male,26-35,62,Divorced,Gujarat,West,Engineer,Furniture,1,4153.15,Pending
100152,Dishani Suri,P1074,Male,36-45,40,Single,Maharashtra,West,Teacher,Groceries,4,1297.89,Cancelled
100153,Purab Kashyap,P3362,Female,56+,56,Married,Maharashtra,North,Doctor,Groceries,5,3810.36,Delivered
100154,Arnav Halder,P1865,Female,26-35,30,Single,Gujarat,East,Teacher,Groceries,7,1563.81,Cancelled
100155,Nirvi Barad,P9714,Male,56+,52,Divorced,Tamil Nadu,East,Business,Electronics,3,3327.22,Pending
100156,Aaina Ben,P4887,Male,26-35,43,Single,Maharashtra,Central,Teacher,Clothing,1,2745.29,Delivered
100157,Jayesh Anne,P3109,Male,56+,29,Married,Gujarat,North,Student,Clothing,3,3299.59,Cancelled
100158,Bhavin Mall,P1683,Male,46-55,23,Divorced,Gujarat,Central,Doctor,Electronics,5,3530.92,Cancelled
100159,Rania Sachar,P7689,Other,26-35,61,Married,Tamil Nadu,East,Teacher,Electronics,2,2464.37,Cancelled
100160,Mamooty Ratta,P5493,Male,36-45,49,Divorced,Gujarat,Central,Student,Groceries,8,3438.39,Cancelled
100161,Riya Kara,P2552,Male,26-35,49,Divorced,Maharashtra,North,Engineer,Electronics,3,3807.21,Pending
100162,Ojas Saha,P8918,Other,36-45,44,Married,Tamil Nadu,South,Doctor,Furniture,4,1256.44,Pending
100163,Anika Iyengar,P8856,Female,56+,20,Single,Gujarat,South,Business,Clothing,4,1075.9,Pending
100164,Raunak Loke,P3645,Other,46-55,46,Single,Maharashtra,East,Business,Furniture,6,2878.46,Delivered
100165,Nirvi Deep,P9150,Male,26-35,38,Divorced,Tamil Nadu,South,Teacher,Furniture,5,2327.87,Cancelled
100166,Jayesh Mane,P2649,Other,36-45,37,Single,Tamil Nadu,North,Student,Clothing,7,2050.6,Pending
100167,Fateh Borra,P2565,Female,46-55,40,Married,Delhi,Central,Business,Electronics,3,3423.46,Cancelled
100168,Vihaan Shan,P4827,Female,18-25,35,Divorced,Tamil Nadu,North,Business,Groceries,3,2711.11,Cancelled
100169,Mannat Kala,P6200,Other,46-55,51,Divorced,Tamil Nadu,South,Teacher,Electronics,3,537.35,Delivered
100170,Eva Mangal,P7551,Other,46-55,47,Divorced,Delhi,East,Teacher,Clothing,6,4679.23,Cancelled
100171,Manikya Bahl,P5597,Female,46-55,43,Divorced,Gujarat,West,Business,Books,2,4537.85,Delivered
100172,Nehmat Loyal,P4255,Female,18-25,47,Married,Maharashtra,South,Engineer,Electronics,5,3368.65,Pending
100173,Ojas Upadhyay,P9636,Other,36-45,23,Single,Karnataka,Central,Business,Electronics,1,2350.51,Cancelled
100174,Rati Bedi,P5564,Male,36-45,35,Single,Tamil Nadu,East,Business,Clothing,4,2439.21,Pending
100175,Miraya Loke,P5565,Male,26-35,52,Single,Maharashtra,West,Teacher,Electronics,2,2635.27,Pending
100176,Yuvraj  Kurian,P4259,Male,36-45,24,Married,Tamil Nadu,East,Engineer,Groceries,7,4335.27,Cancelled
100177,Anahi Saraf,P2826,Other,56+,39,Divorced,Gujarat,Central,Student,Clothing,5,141.81,Cancelled
100178,Reyansh Kohli,P7401,Male,18-25,19,Single,Delhi,North,Student,Groceries,1,1706.23,Cancelled
100179,Ishaan Setty,P6946,Male,46-55,51,Married,Karnataka,West,Business,Clothing,1,3217.12,Cancelled
100180,Riaan Deep,P8194,Male,46-55,23,Divorced,Maharashtra,South,Business,Groceries,1,4458.08,Cancelled
100181,Dhanuk Vaidya,P7339,Other,46-55,59,Divorced,Gujarat,South,Business,Clothing,2,310.23,Pending
100182,Anahita Vyas,P5683,Male,36-45,44,Married,Karnataka,South,Engineer,Furniture,1,3185.7,Pending
100183,Riaan Bains,P2817,Other,26-35,55,Single,Gujarat,North,Teacher,Furniture,7,2264.49,Cancelled
100184,Kanav Bera,P4121,Female,46-55,26,Married,Karnataka,South,Doctor,Furniture,4,417.79,Delivered
100185,Trisha Jani,P3366,Other,26-35,45,Divorced,Tamil Nadu,West,Business,Groceries,4,1854.46,Delivered
100186,Onkar Borra,P4082,Other,46-55,46,Married,Tamil Nadu,South,Business,Books,4,3911.25,Cancelled
100187,Raghav Andra,P9009,Female,56+,59,Divorced,Delhi,West,Teacher,Electronics,6,2727.85,Delivered
100188,Trisha Raju,P8156,Female,56+,62,Married,Maharashtra,West,Business,Furniture,9,646.56,Cancelled
100189,Advik Sethi,P3182,Female,46-55,35,Married,Tamil Nadu,West,Doctor,Electronics,3,3797.87,Cancelled
100190,Rohan Shere,P7873,Female,26-35,55,Single,Tamil Nadu,East,Business,Furniture,1,4183.89,Delivered
100191,Divyansh Ben,P3828,Female,26-35,58,Divorced,Maharashtra,East,Teacher,Books,6,2767.19,Pending
100192,Advika Balasubramanian,P8310,Other,26-35,54,Divorced,Delhi,West,Engineer,Electronics,4,1680.58,Delivered
100193,Hiran Gopal,P2638,Other,56+,60,Divorced,Gujarat,Central,Engineer,Electronics,6,2839,Delivered
100194,Azad Char,P3563,Male,46-55,31,Divorced,Maharashtra,North,Doctor,Groceries,7,1396.77,Pending
100195,Hrishita Ganguly,P7565,Female,36-45,48,Single,Tamil Nadu,West,Doctor,Furniture,9,1384.59,Delivered
100196,Seher Yogi,P3761,Male,56+,63,Divorced,Tamil Nadu,West,Student,Books,8,3740.28,Pending
100197,Lakshit Khare,P6990,Female,56+,63,Married,Gujarat,South,Engineer,Clothing,9,4979.08,Pending
100198,Ivana Wali,P9693,Other,56+,34,Divorced,Tamil Nadu,North,Teacher,Groceries,5,1180.45,Pending
100199,Saanvi Shetty,P5200,Other,56+,53,Married,Delhi,West,Doctor,Electronics,4,375.18,Pending
100200,Yuvraj  Chahal,P4234,Other,36-45,49,Married,Gujarat,West,Teacher,Books,8,4198.76,Delivered
100201,Rohan Datta,P7912,Female,56+,43,Married,Delhi,East,Student,Furniture,5,1128.79,Delivered
100202,Madhup Borde,P6817,Female,46-55,64,Divorced,Tamil Nadu,South,Student,Clothing,8,1935.17,Cancelled
100203,Akarsh Ramesh,P4191,Male,46-55,43,Single,Delhi,Central,Engineer,Groceries,3,2141.41,Delivered
100204,Neysa Keer,P8762,Male,36-45,50,Divorced,Karnataka,South,Student,Groceries,3,1880.13,Delivered
100205,Adira Gandhi,P9035,Other,56+,35,Married,Karnataka,East,Engineer,Books,7,3916.3,Cancelled
100206,Armaan Vasa,P5092,Other,46-55,57,Divorced,Tamil Nadu,West,Engineer,Electronics,4,4558.09,Pending
100207,Vivaan Barad,P5942,Other,26-35,32,Single,Gujarat,Central,Teacher,Books,9,1316,Pending
100208,Madhup Bains,P9574,Other,36-45,55,Divorced,Tamil Nadu,West,Business,Furniture,8,4059.59,Cancelled
100209,Azad Sachdev,P2710,Male,26-35,42,Single,Gujarat,East,Engineer,Groceries,1,2329.73,Pending
100210,Advika Tandon,P5893,Female,56+,37,Divorced,Tamil Nadu,Central,Doctor,Groceries,1,3608.96,Delivered
100211,Misha Manda,P4657,Male,46-55,30,Single,Maharashtra,North,Engineer,Clothing,5,1649.51,Cancelled
100212,Hridaan Bal,P9835,Other,18-25,41,Divorced,Maharashtra,East,Teacher,Clothing,8,3992.46,Cancelled
100213,Prerak Badal,P5496,Female,46-55,36,Married,Karnataka,North,Engineer,Electronics,2,3642.21,Cancelled
100214,Vaibhav Dhar,P8025,Male,36-45,24,Married,Tamil Nadu,North,Student,Groceries,9,2653.23,Cancelled
100215,Armaan Kant,P9853,Female,26-35,51,Single,Maharashtra,South,Business,Books,3,3753.94,Cancelled
100216,Khushi Cheema,P8643,Male,18-25,45,Married,Maharashtra,North,Business,Furniture,6,1049.65,Cancelled
100217,Farhan Chand,P9860,Other,26-35,42,Divorced,Delhi,West,Business,Furniture,6,1100.02,Pending
100218,Dharmajan Date,P8593,Male,36-45,36,Divorced,Delhi,North,Business,Books,3,4299.35,Pending
100219,Zaina Dash,P2480,Female,26-35,26,Divorced,Maharashtra,Central,Engineer,Furniture,6,1622.9,Cancelled
100220,Mamooty Mangal,P1308,Other,46-55,49,Married,Karnataka,North,Doctor,Clothing,5,3224.91,Pending
100221,Veer Apte,P2147,Other,26-35,32,Married,Karnataka,West,Engineer,Electronics,4,434.8,Pending
100222,Neysa Guha,P7213,Other,36-45,53,Married,Delhi,East,Teacher,Books,3,1660.74,Delivered
100223,Ivan Sheth,P7971,Female,56+,43,Divorced,Tamil Nadu,North,Doctor,Electronics,2,2704.15,Delivered
100224,Khushi Sankar,P6713,Other,18-25,20,Married,Delhi,Central,Student,Clothing,7,3000.93,Pending
100225,Vritika Biswas,P3813,Other,56+,57,Married,Maharashtra,South,Teacher,Furniture,6,1176.73,Pending
100226,Umang Gupta,P7238,Other,36-45,32,Married,Tamil Nadu,West,Doctor,Electronics,3,3276.01,Pending
100227,Anika Gole,P4029,Female,36-45,30,Single,Gujarat,North,Student,Groceries,6,1992.01,Delivered
100228,Saira Lad,P9775,Male,36-45,24,Single,Tamil Nadu,North,Engineer,Electronics,1,864.28,Pending
100229,Hridaan Ghosh,P2765,Male,56+,48,Single,Maharashtra,North,Business,Clothing,1,2828.3,Delivered
100230,Aaryahi Basak,P5620,Female,18-25,19,Married,Maharashtra,West,Business,Electronics,8,3364.6,Cancelled
100231,Kaira Tara,P8243,Other,56+,57,Divorced,Tamil Nadu,West,Business,Books,6,951.95,Pending
100232,Kartik Loke,P8204,Male,56+,60,Single,Delhi,North,Student,Electronics,2,409.7,Delivered
100233,Khushi Iyer,P5780,Male,36-45,49,Divorced,Delhi,East,Doctor,Furniture,9,600.7,Pending
100234,Zara Setty,P7587,Female,46-55,41,Married,Gujarat,North,Student,Electronics,1,2817.16,Delivered
100235,Eshani Shetty,P5163,Male,18-25,43,Married,Tamil Nadu,South,Student,Furniture,7,3904.42,Cancelled
100236,Saksham Buch,P7353,Male,18-25,62,Single,Karnataka,East,Doctor,Groceries,9,4923.61,Delivered
